Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign ,Audience,
EMEA,Italy,Netcomm Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000BloO7YAJ/view,Event-Tradeshow | PC - 20240508 | Netcomm Forum - Italy,4/15/2025,4/16/2025,,Event-Tradeshow,"$15,000",,Affiliate/Partnerships,FALSE
APAC,SEA,Event-Tradeshow | PC - 20230315 | Indonesia Retail and E-Commerce Summit,Event-Tradeshow | PC - 20230315 | Indonesia Retail and E-Commerce Summit,Indonesia Retail & Ecommerce Summit,3/15/2023,3/15/2023,External,Event-Tradeshow,"$9,500",,,TRUE
APAC,Japan,Event-Tradeshow | PC - 20230323 | Direct Agenda - Japan,Event-Tradeshow | PC - 20230323 | Direct Agenda - Japan,Direct Agenda Conference,3/23/2023,3/23/2023,External,Event-Tradeshow,"$3,000",,,TRUE
APAC,AUS,Event-Tradeshow | PC - 20230214 | eTail Australia,Event-Tradeshow | PC - 20230214 | eTail Australia,eTail Australia + VIP Dinner + Drinks,2/14/2023,2/16/2023,External,Event-Tradeshow,"$41,242",,,TRUE
APAC,AUS,Event-Tradeshow | PC - 20230309 | All Star Bash AU,Event-Tradeshow | PC - 20230309 | All Star Bash AU,All Star Bash,3/9/2023,3/9/2023,External,Event-Tradeshow,"$8,302",,,TRUE
APAC,AUS,Event-Tradeshow | PC - 20230323 | Mumbrella Retail Marketing Summit - AU,Event-Tradeshow | PC - 20230323 | Mumbrella Retail Marketing Summit - AU,Mumbrella Retail Marketing Summit,3/23/2023,3/23/2023,External,Event-Tradeshow,$882,,,TRUE
APAC,AUS,Event-Tradeshow | PC - 20230327 | Retail Fest - AU,Event-Tradeshow | PC - 20230327 | Retail Fest - AU,Retail Fest + Tech Partner Happy Hour,3/27/2023,3/30/2023,External,Event-Tradeshow,"$17,597",,,TRUE
APAC,SEA,Event-Tradeshow | PC - 20230406 | Retail Executive Summit - Singapore,Event-Tradeshow | PC - 20230406 | Retail Executive Summit - Singapore,Retail Executive Summit,4/6/2023,4/6/2023,External,Event-Tradeshow,"$22,200",,,TRUE
APAC,SEA,Event-Hosted | 2023-03-09 | Partnership Mixer - SEA,Event-Hosted | 2023-03-09 | Partnership Mixer - SEA,MY Partnerships Mixer,3/9/2023,3/9/2023,Impact.com Hosted,Event-Hosted Splash,"$1,300",,,TRUE
APAC,SEA,Event-Hosted | 2023-03-16 | Partnerships Mixer - SEA,Event-Hosted | 2023-03-16 | Partnerships Mixer - SEA,ID Partnerships Mixer,3/16/2023,3/16/2023,Impact.com Hosted,Event-Hosted Splash,"$1,100",,,TRUE
APAC,SEA,Event-Hosted | 2023-03-22 | Moments of Impact:VIP Dinner with ShopDisney - SEA,Event-Hosted | 2023-03-22 | Moments of Impact:VIP Dinner with ShopDisney - SEA,VIP Dinner with ShopDisney,3/22/2023,3/22/2023,Impact.com Hosted,Event-Hosted Splash,"$5,200",,,TRUE
APAC,China,Warc Webinar,NA,,,,#N/A,,,,,TRUE
APAC,China,Morketing Summit,Event Trade Show,Event-Tradeshow | PC - 20230503 | iMedia Online Retail Summit AU,21 -23 Mar,,External,Event-Tradeshow,,,,TRUE
